"","alpha","beta","eps","T1","L","M"
"y1...47",0.0837622576109193,0.999131911535851,0.00062,5.4,0.265067783958481,0.124964296112058
"y1...48",0.0633139983902174,0.776098181554564,0.00115,6.8,0.3499378528682,0.130999328731394
"y1...49",0.0714307712194261,0.815220049288989,0.00239,6.1,0.343146919792979,0.135963508696939
"y1...50",0.0358435655187838,0.540159924470622,0.00273,8.9,0.400850994260279,0.104216560707418
"y1...51",0.187574733966434,2.0524399897998,0.00085,2.2,0.114309225068898,0.102235330812096
"y1...52",0.0885988240821657,1.04654645380777,0.00042,5.2,0.253909106092244,0.125046286031802
"y1...53",0.100730123714873,1.11162330828658,0.00112,4.5,0.241930141583585,0.127011412424052
"y1...54",0.191592871677351,2.39703113466883,0.00203,1.8,0.0863360396350949,0.0842488319078457
"y1...55",0.129764515003289,1.57338049248628,3e-05,2.9,0.138286950265706,0.0959849067708557
"y1...56",0.145017447991699,1.91368667988173,0.0016,2.5,0.103524800086315,0.0847680981386736
"y1...57",0.140394909237152,1.68492747020868,2e-04,2.8,0.130568603066518,0.0970529793696577
"y1...58",0.106784956506381,1.26892788685738,0.00138,4,0.189043222716974,0.110161478262651
"y1...59",0.193520349347844,2.38591021800174,0.00372,1.7,0.0887985937056399,0.0842185364272407
"y1...60",0.106756540473197,1.21175156785832,0.00035,4.6,0.220549186760828,0.124863550719964
"y1...61",0.0677702318321887,0.760167217309982,0.00943,5.1,0.320934123375275,0.118155983062571
"y1...62",0.0654874695563048,0.937592915870225,0.02538,3.5,0.191649424719108,0.075285179057594
"y1...63",0.273233407291176,3.24439328277018,0.00811,1.3,0.0680803508429058,0.0855385160304607
"y1...64",0.053882214272285,0.681353493647817,0.01404,5.2,0.306424149568647,0.0987829421395972
"y1...65",0.13783230873363,1.64811147852749,0.00098,3,0.136172889167834,0.0999939123624391
"y1...66",0.140371297985044,1.63446530215691,0.00099,3,0.141055650613015,0.103231184423944
"y1...67",0.250387528708192,2.96823656481714,0.00745,1.4,0.0743257016998553,0.0862087717408759
"y1...68",0.0939285623120382,1.03463379091125,0.00168,4.9,0.268564849293482,0.132430047545184
"y1...69",0.175675027581605,2.13535419707301,0.00043,2,0.0993404754646058,0.0882193885668916
"y1...70",0.0302171012195581,0.35711212556086,0.00585,10.6,0.785745135821327,0.152394875952919
