"","lambda","eps","T2","L","M"
"time...211",0.0396005663823042,0.24346,44,26.9385470688602,14.0805951528597
"time...212",0.0411736600797175,0.22605,34.7,16.5834248007842,8.47316329472701
"time...213",0.0393741114357111,0.26833,46.6,29.8733795632759,15.6455439293697
"time...214",0.040941911542899,0.14084,41.9,40.6218637355243,20.820887309186
"time...215",0.0405687317077342,0.04536,44.2,43.6016724764254,22.4494405056819
"time...216",0.0392168254861359,0.3527,40.2,13.8357894724952,7.27302844946607
"time...217",0.042337474657731,0.49378,67.6,5070.04974787934,2553.41108280603
"time...218",0.0419876840506011,0.40204,64.9,2670.31392709441,1351.89164966892
"time...219",0.0391777694255035,0.35008,40.4,12.9093977121576,6.78148642793541
"time...220",0.0406772876513116,0.06511,37.9,20.8700236973509,10.7396991115339
"time...221",0.0411695317924481,0.20032,42.4,49.3615265845179,25.2231822712384
"time...222",0.0392867735142226,0.31363,43.8,21.3336622468877,11.1959813526957
"time...223",0.0412926342818114,0.25238,36.1,22.6061041589413,11.5439756461401
"time...224",0.0408534909641862,0.13997,44.6,59.1088050180668,30.356651060134
"time...225",0.0406213792191144,0.04894,41.6,34.56626165435,17.8102753696044
"time...226",0.0416871012805935,0.34118,64.2,1592.05031537871,807.675347234481
"time...227",0.0406555804868911,0.05427,39.3,25.2601343760856,13.0052256404305
"time...228",0.0401911993172537,0.10588,34.7,11.1019089724345,5.75472823846047
"time...229",0.0389270037561599,0.41085,39.2,10.2556953754382,5.41110559352323
"time...230",0.0392508292573647,0.35158,38.6,11.4123166314716,5.99428717799912
"time...231",0.0412899035134217,0.26405,49.1,147.780058273921,75.469566444732
"time...232",0.0411909296013886,0.23217,40.7,38.7994853869493,19.8166477154459
"time...233",0.0414560291893983,0.28709,39.8,38.5946163135778,19.6373911056675
"time...234",0.0416950185832825,0.39574,36.4,26.5309735983673,13.4572904692168
"time...235",0.0403741034203208,0.06077,33.3,9.23759358687308,4.76838416770694
"time...236",0.0398100779902956,0.22234,36.6,11.7532236815055,6.12405121836552
"time...237",0.0402143620006108,0.08785,33.9,9.99394981808667,5.17766570220367
"time...238",0.0407754552298905,0.10998,41.7,35.0494956507145,17.9965380015675
"time...239",0.0414841508910055,0.31725,47.9,144.207763690761,73.4870276553685
"time...240",0.0401701674468046,0.10774,37.7,14.8979360232728,7.71211464073091
"time...241",0.0397329469054531,0.20337,38.1,12.916120061855,6.73042278674982
"time...242",0.0399470144997048,0.15557,33,7.44612363865881,3.86756613628738
"time...243",0.0389888884596779,0.36237,50.8,39.5124544110829,20.8169562268456
"time...244",0.0384754653469034,0.48805,49.9,28.8450347386087,15.3383515319013
"time...245",0.0418654241459766,0.39798,58.5,827.349287846075,419.019956089922
"time...246",0.0388947571720431,0.3849,46.8,24.823262014057,13.1072780975831
"time...247",0.0395046603807744,0.28695,44.8,26.7193110623649,13.9738171158908
"time...248",0.0401142517488479,0.10765,33.1,8.22700935472411,4.26428703575012
"time...249",0.0409490662665231,0.14365,48.2,97.5060209232125,49.9690541419328
"time...250",0.0413983416528817,0.28538,43.6,66.802598849329,34.0333650300955
"time...251",0.0408553352868845,0.12282,42.8,46.0261922225144,23.6368049768622
"time...252",0.0413142739972187,0.28147,44,70.7562316359806,36.1148402743379
"time...253",0.0409065350050661,0.14881,35.3,16.2312481184379,8.32599288263648
"time...254",0.0397662914435296,0.18747,47.2,40.1242446802911,20.8920587897051
"time...255",0.0405831808311043,0.06153,42.4,34.2652717153333,17.636578696514
"time...256",0.0397991247102317,0.2019,33.9,8.34584868135417,4.34973181477823
"time...257",0.0412725983533059,0.23424,52.4,237.99939097258,121.590276902819
"time...258",0.0404559697432935,0.04963,36.7,15.9725691129062,8.24496511840615
"time...259",0.0413056983539374,0.27032,42.6,57.8017481283113,29.5083330116538
"time...260",0.0408384543549566,0.10423,35.7,17.1565353672609,8.81410234924221
"time...261",0.0404504460773158,0.0455,34.8,12.3850371114645,6.39390099253106
"time...262",0.0417645381358478,0.41342,38,38.0122370417812,19.2942810646983
"time...263",0.0414514046495126,0.32304,37.7,28.497188118043,14.5011843656644
"time...264",0.040289172739524,0.06323,34.9,11.3987443339485,5.89536876243697
"time...265",0.0393086743917275,0.29976,37.3,9.75915777647339,5.1190053820463
"time...266",0.04121702303094,0.22839,42.1,47.3136725240529,24.1511903862992
"time...267",0.0420441584204518,0.49923,54.6,550.801098410687,278.509699773158
"time...268",0.0411165463118115,0.20075,32,11.310897348203,5.7865753678983
"time...269",0.0413057040073403,0.24628,44,70.7542747120325,36.1207163329044
"time...270",0.0410172823036633,0.17407,37,20.5622321035996,10.5214642664326
"time...271",0.0406598365885161,0.06414,38,21.1559938744541,10.8911531515933
"time...272",0.0413003575696674,0.2487,49.6,158.851725413921,81.1049172066114
"time...273",0.0410740578457831,0.18763,42.4,49.3490471348121,25.2705912787306
"time...274",0.0409375242924222,0.12438,44.4,57.498290743042,29.4738632356641
"time...275",0.0419264673842475,0.43782,48.8,192.711849539505,97.470906462997
