"","G","r","eps","T2","L","M"
"mu...763",62.7176716442082,31.6378461486675,0.0511,38.5,18.6993837422898,9.63870207730418
"mu...764",62.7495226019522,31.4342649194878,0.04144,40.2,23.4010623500925,12.0560854802636
"mu...765",62.7284082941538,30.7763308026812,0.03368,42.9,33.4151056532812,17.2210545521672
"mu...766",62.8370671194656,31.2243757832099,0.06711,35.7,12.9237972999214,6.64898530533354
"mu...767",62.707043704126,31.0803849925428,0.06086,36,13.4455887568157,6.93177861452826
"mu...768",62.7404731206152,30.8579747045999,0.02947,43.6,36.6481565043309,18.8836293448396
"mu...769",62.8079946056467,30.6799743230649,0.04638,37.5,16.3880887365552,8.43518405353482
"mu...770",62.7195513474042,31.376769592542,0.0557,41.2,26.7014327464083,13.7629891654833
"mu...771",62.6097702171186,31.0540992896376,0.04651,39.7,21.907159978893,11.3116287069291
"mu...772",62.7038192401474,30.7887789444448,0.05925,41.6,28.1484280014929,14.5124714190452
"mu...773",62.7383034533082,31.3852988418259,0.0413,44.7,42.3722004504265,21.8338029692811
"mu...774",62.6740688728271,30.8892377270923,0.05446,36.5,14.3624763381014,7.40836863706167
"mu...775",62.6774494515674,31.2316898997649,0.05294,37.1,15.5456436214482,8.0182315383289
"mu...776",62.761836508013,30.8018982318599,0.04474,39.2,20.5086268636745,10.5638474677712
"mu...777",62.718986903425,31.2054666405297,0.05753,37.3,15.9613090023969,8.22717394615861
"mu...778",62.7432402281398,30.9846316047087,0.02864,40.8,25.3288204938676,13.0505614080747
"mu...779",62.758216197687,30.9235136842839,0.04219,41.1,26.3514591946129,13.5742305463566
"mu...780",62.5911630864183,31.0249755706646,0.04941,44.7,42.3722001052438,21.8851319669698
"mu...781",62.7984238604304,31.2985430447538,0.04254,39,19.9745401615199,10.282748493761
"mu...782",62.7667354410382,30.6604155226063,0.05251,36.2,13.805101983468,7.11035494092028
"mu...783",62.6851378470735,31.0052943484775,0.04963,36.3,13.9884479525038,7.21416523812503
"mu...784",62.8038789525528,30.7770852243047,0.05078,36.5,14.36247561928,7.39305735725973
"mu...785",62.7369684127359,30.8418508444457,0.03802,40.3,23.7118518703631,12.2186463117211
"mu...786",62.6841641649419,31.0123366563836,0.05832,34.4,10.8868302521936,5.61467699350529
"mu...787",62.7029255808328,31.5533385293386,0.067,35.3,12.2594374521437,6.32068120552764
"mu...788",62.7772012611116,31.3471551445842,0.02808,49.5,79.8208144314111,41.1050674538634
