"","lambda","eps","T4","L","M"
"time...511",0.0412549105517051,0.01084,46.8,90.7883086808236,46.3037002529742
"time...512",0.0410143558430962,0.011,47.7,90.9720034187534,46.5524103431538
"time...513",0.0402729375898203,0.01065,51,94.6113846616908,48.950649856689
"time...514",0.0401095819099857,0.01115,51.7,90.7728145460114,47.0551104934077
"time...515",0.0384841135716163,0.01087,60.5,95.056160021975,50.5356148440604
"time...516",0.0399870661180682,0.01111,51.7,90.7800025133748,47.1916114857666
"time...517",0.0403444289857117,0.01096,50.8,90.9532321163236,46.9812301125952
"time...518",0.0408224825418359,0.0111,47.6,89.682320485157,46.0905046368814
"time...519",0.0411586187819116,0.01066,46.9,93.3738151269683,47.7245715320578
"time...520",0.0398616175285261,0.01092,52.9,91.6724031367323,47.7092459538887
"time...521",0.0398718814544645,0.01065,53.1,95.2253506712953,49.5465580263037
"time...522",0.0403730610397844,0.01111,50.7,90.9532914041328,46.9505994206775
"time...523",0.0406608698358984,0.01069,48.9,93.560793543559,48.1641873109853
"time...524",0.0404437608454177,0.01102,49.7,91.0430101527246,47.0090207072202
"time...525",0.0403924054683775,0.01086,49.8,91.039814887861,47.0623447150867
"time...526",0.0413550363997689,0.0108,45.8,90.4587359797999,46.1295063912581
"time...527",0.0408477369223186,0.01111,47.6,89.6868061429938,46.0666301316932
"time...528",0.0412680485379282,0.01078,45.8,90.4332749836919,46.2056612525064
"time...529",0.0391448952311746,0.01066,57.4,95.2798669905262,50.0906725164061
"time...530",0.0417849336416978,0.01082,43.8,89.5089467406776,45.4127086133896
"time...531",0.0399550206161805,0.01109,52.8,91.6610012483794,47.6005361245995
"time...532",0.0393057381509932,0.01106,56,92.5801698473073,48.5647507716229
"time...533",0.0409647208337145,0.01114,47.6,89.7075876590591,45.9564454690953
"time...534",0.0423383180683917,0.01059,42,92.3590298262438,46.5136039136548
"time...535",0.0409961070743956,0.01115,47.6,89.7131632418426,45.9269938239505
"time...536",0.039786634831478,0.01076,53,94.0363732671687,49.0245271826164
"time...537",0.0397417624630583,0.01089,54,93.6025737576647,48.7651155613599
"time...538",0.040951531114795,0.01114,47.6,89.7052442750705,45.9688320707968
"time...539",0.0403494425585539,0.01096,50.8,90.9532424006271,46.9758598309725
"time...540",0.0407436310865491,0.01101,48.7,91.0531382584824,46.7857593417658
"time...541",0.0411355209579959,0.01096,46.7,90.7600028178075,46.412520929853
"time...542",0.040070597079981,0.01128,51.6,89.6108559952568,46.4943868699211
"time...543",0.0387767482653905,0.01078,59.5,95.8943716197534,50.7000876160184
"time...544",0.0407426868018164,0.01101,48.7,91.0530232289268,46.7866939397023
"time...545",0.0403628671355814,0.01082,50.9,93.3759758254731,48.2124074978274
"time...546",0.0412708978234445,0.01078,45.8,90.4341084705845,46.2031629373503
"time...547",0.0411234783071445,0.01065,46.9,93.3652512058599,47.7576172541859
"time...548",0.0413834152548874,0.01081,45.8,90.467043140326,46.1047304046369
"time...549",0.0398329921217645,0.01091,52.9,91.6758970633377,47.7426616861245
"time...550",0.0396481916418528,0.01113,53.8,91.3166938483835,47.6777398009493
"time...551",0.0405796621740266,0.01077,49.9,93.5223190655645,48.140443195595
"time...552",0.0402368610713942,0.01078,50.9,93.37585276034,48.3512676106869
"time...553",0.0409345403671624,0.01098,47.7,90.9576407944197,46.6283829352934
"time...554",0.0387082847889736,0.01088,59.4,94.8405618998462,50.2249519492277
"time...555",0.0400169600716845,0.01112,51.7,90.7782481781006,47.1582306669747
"time...556",0.0407026563088143,0.01085,48.8,91.0481569682226,46.8264778189475
"time...557",0.0404427352976662,0.01102,49.7,91.0429466812248,47.0100896242463
"time...558",0.0413075271285387,0.01079,45.8,90.4448287200613,46.1710557466035
"time...559",0.0393647892699461,0.01095,56.1,93.6816972006717,49.0745190357456
"time...560",0.0389589466422318,0.01078,58.4,95.6350337804014,50.4206777992056
"time...561",0.0396041670627317,0.01098,53.9,91.3248050884107,47.7308433488388
"time...562",0.0390685695715721,0.01076,57.3,95.3102869110876,50.1970935817625
"time...563",0.0399065433286982,0.0108,53,94.0211687616928,48.880853277533
"time...564",0.0413708049572984,0.01096,45.7,90.4633517618563,46.1157387794615
"time...565",0.039029508683537,0.01062,57.4,95.3258587510114,50.2517162983745
"time...566",0.0405642748619602,0.01091,49.8,91.0505059257411,46.8844264097974
"time...567",0.0406780789351406,0.0107,48.9,93.5629321535882,48.1465584002851
"time...568",0.0417544737185814,0.01098,43.7,89.4968046897807,45.4368810650895
"time...569",0.0415219188942521,0.01048,45,94.0934904710277,47.9092600603628
"time...570",0.041004694245301,0.011,47.7,90.9702641467991,46.5615902389787
"time...571",0.0405177486320365,0.0109,49.8,91.0476116116006,46.9324416020241
"time...572",0.0379407005721374,0.01106,63.7,94.1248463083327,50.490197564187
"time...573",0.0415555596892469,0.0108,44.8,90.0382134886219,45.8104308525429
"time...574",0.0424277213856725,0.01061,42,92.4056658074754,46.4474659798651
"time...575",0.0416513932449312,0.01051,45,94.1404785662573,47.7966432803447
"time...576",0.0407048652478472,0.01085,48.8,91.048425587845,46.8242785200544
"time...577",0.0393663496579372,0.01095,56.1,93.6811935461328,49.0724613164387
"time...578",0.0395875502261656,0.01111,53.8,91.3278654257085,47.7509314017331
"time...579",0.0404123467074137,0.01101,49.7,91.0410561622069,47.0416203521399
"time...580",0.0402370757869754,0.01078,50.9,93.3758533343759,48.3510286188965
