"","alpha","beta","eps","T2","L","M"
"time...200",0.0754350823288129,0.85551687613269,0.0479,35.9,22.2777473324275,9.26980702003164
"time...201",0.128952090745369,1.62049560859298,0.04379,39.8,18.5363705915187,13.569270231718
"time...202",0.1036425640795,1.22122758078093,0.04112,34.3,13.9282987288735,7.93070807879594
"time...203",0.105566946814237,1.31029237981361,0.05153,36,12.7930405604581,7.70314055596002
"time...204",0.0927703513141914,1.28816625797624,0.05302,41.9,13.6541863291063,7.95149751714549
"time...205",0.126928212109042,1.45016324022348,0.03356,38.5,29.9360947618363,20.0638923987594
"time...206",0.0745519048302609,0.920979656826951,0.05964,37.1,16.1214482204547,7.04554388548638
"time...207",0.0509812316113831,0.608115313732133,0.04685,38.5,22.5672091638749,6.88324571171272
"time...208",0.148800443908529,2.06689521436134,0.05446,43.5,13.6836952075564,12.4295250039151
"time...209",0.0676799991123007,0.878977643284179,0.06007,36.6,11.5244596528115,4.78395608139837
"time...210",0.017432520203226,0.201471159396451,0.04157,48.4,38.4050039634549,4.75449812632534
"time...211",0.160621223804585,1.79269366504392,0.04901,36.4,24.1094578488003,19.7451407416097
"time...212",0.0419889423168461,0.578452938433119,0.0767,36.3,8.38935773122639,2.37212318519678
"time...213",0.151149179178319,1.7730236983602,0.04862,37,19.0693374598177,15.3405336455404
"time...214",0.139868329498244,1.68789068617607,0.05842,35.1,12.3321035409988,9.4345955147146
"time...215",0.11256569067351,1.37476174306341,0.0575,36.5,14.8889457012944,9.39611359385788
"time...216",0.108176493739777,1.3800410145005,0.05613,36.5,11.4519308862052,7.20268679600257
"time...217",0.139612510811187,1.59915638201636,0.04955,34.5,15.8397292114576,11.6169385510306
"time...218",0.202155441174089,2.35242512631764,0.0438,37.8,20.2440107125379,21.2776027405081
"time...219",0.128902494043731,1.43490298528132,0.04316,36.5,26.3500164041214,17.5652476937134
"time...220",0.0434983637555621,0.558290091096129,0.04734,40.7,19.4374391247575,5.41324014838273
"time...221",0.0644970673042617,0.811387157375751,0.05734,37.3,15.0112125643883,5.83544427790438
"time...222",0.0789718014344666,1.01986320516478,0.04796,38.2,14.2220013177158,6.76137073404182
"time...223",0.0411281277752836,0.543587126084888,0.05379,40.5,16.1824764665858,4.37408629164525
"time...224",0.0983947847089468,1.19386880123695,0.04087,41.1,29.9405733532688,16.6141164685022
"time...225",0.169900868873419,1.93216291770615,0.04451,36,19.5138242532983,17.09255417387
"time...226",0.138335584378839,1.73281634459578,0.05626,40.3,19.806447595075,15.4449085297807
"time...227",0.0979542515595259,1.26352745210602,0.05838,36.7,11.3053430719582,6.54201081123756
"time...228",0.153295734282371,1.78482764038832,0.03783,37.5,21.5187682252566,17.4382874617183
"time...229",0.204285974082198,2.5902241210287,0.03693,42,19.2160736886493,21.8909205977222
"time...230",0.136438533109908,1.59915948640769,0.05363,35.1,15.0232239538334,10.9782892793387
"time...231",0.0266965941169429,0.30853933709152,0.05179,44,36.0491528823747,6.26949178722225
"time...232",0.0407522646447116,0.46720579853994,0.04565,36.8,20.5083182729654,5.04061166692754
"time...233",0.0386371190426279,0.468586562121946,0.03282,43.4,34.0896198138711,8.27984487466625
"time...234",0.0844236069259572,1.07802813189178,0.04504,44.4,33.1965956375918,16.6332217718892
"time...235",0.0728633778731067,0.877179341883229,0.04402,36,16.1657171148207,6.79635898320731
"time...236",0.0636086680286253,0.824286085454408,0.04442,39.5,16.6681712201753,6.53374876216941
"time...237",0.0552831717526386,0.735216415655054,0.06029,38,12.123031231122,4.26867124211608
"time...238",0.109319757674538,1.45415235178815,0.03884,44.7,24.6559041882831,16.1765783668876
"time...239",0.0791319815250898,0.989634622666727,0.04758,35.6,12.308253789408,5.72674315460632
"time...240",0.238346653581816,2.96008435988491,0.06224,40.8,17.5656900576974,22.7963362509826
"time...241",0.0913697460642808,1.10652537041041,0.05092,36.1,15.5177527548114,8.03664200880211
"time...242",0.099969028322424,1.29354645983638,0.05986,38.3,13.5366168969439,8.00087342180253
"time...243",0.220223744685288,2.45559406290694,0.04132,39.9,37.5043790209103,41.2970254958583
"time...244",0.13133285355847,1.70432314411171,0.0646,33,6.04885482148998,4.62059267769269
"time...245",0.0138236328782909,0.186468346844941,0.05209,61.9,55.7987373450182,6.16445951126176
"time...246",0.108380050543613,1.30103789588349,0.04039,38,20.6456450923901,12.4187577916288
"time...247",0.0225442540860651,0.273640433670591,0.03009,45.9,31.5117325043841,4.8985776408432
"time...248",0.128776063569485,1.51481723453117,0.04508,40.6,33.065016274087,22.9641796841169
"time...249",0.094968480231217,1.11090974328092,0.04549,39.4,30.2324860226965,15.8117294669692
"time...250",0.144381390714531,1.72817660006349,0.04808,37.8,18.926154664562,14.8201324959545
"time...251",0.0494406569192553,0.594400175785873,0.04269,40.4,27.2569245347211,8.13611604034978
"time...252",0.024478517739404,0.288607992322475,0.04561,44.1,31.3103748916714,5.12710846611332
"time...253",0.133804576847208,1.68615955343756,0.05307,39.2,16.5511088923378,12.569548137789
"time...254",0.133334204894568,1.80523118136463,0.05219,40.7,12.238480942098,9.81126252207857
"time...255",0.106856663861831,1.32535410371338,0.04806,38.5,17.9301077347217,10.9120439490568
"time...256",0.144625285240779,1.60673745177936,0.05465,37.6,30.8520735953091,22.8380671436921
"time...257",0.133103043290762,1.60515002106177,0.05409,34.1,10.9478192449334,7.99276644236589
"time...258",0.0719637918762898,0.834546255827972,0.04017,37.5,24.4167194148009,9.89312520456765
"time...259",0.0752689102467015,0.840409157610972,0.04692,33.6,17.5313645775981,7.20368487985245
"time...260",0.111071027043547,1.40293296981246,0.04124,43.4,30.1896300372107,19.3095920397265
"time...261",0.0821643687839938,1.03189557813741,0.05732,37.3,14.8824431641926,7.18670744844841
"time...262",0.0963559769511127,1.30637300640714,0.06046,39.4,11.6719317082482,6.91144273492353
"time...263",0.0795386774472673,0.987762582423792,0.05426,34.5,11.0921296337974,5.1586798399266
"time...264",0.0831054441956224,1.00624926176229,0.0618,33.2,10.6646055172906,5.06727981779618
"time...265",0.21067755728869,2.5617034800812,0.04783,39.5,18.3466283191308,20.7897507170094
"time...266",0.0760475087158032,0.959671304798888,0.03962,45,38.9405164861211,17.5919186949991
"time...267",0.182416736380011,2.23558883405348,0.05501,43.8,34.2109721878667,34.0242842842817
"time...268",0.0520112638436799,0.613665825467598,0.04957,37.7,21.6684602794154,6.67810129959377
"time...269",0.0928260851508964,1.07773452454298,0.04725,36.5,21.0952719213902,10.7484560039227
"time...270",0.181879770886837,2.19629988044312,0.03317,42.3,31.0735120783223,30.4496661748872
"time...271",0.12956666136741,1.42671210996068,0.03711,38.8,40.3341035569504,26.7953430745045
"time...272",0.0562806012187472,0.679235668401711,0.04845,33.9,12.0743641468127,4.0451865504954
"time...273",0.0898320297611395,1.08489314944494,0.04592,39.4,24.7330338226708,12.5874735558242
"time...274",0.131349976895182,1.60650683535554,0.0463,41.3,27.4377433719599,20.0044975264655
"time...275",0.077346986002335,0.970126208776707,0.05438,36.3,13.2879130120687,6.06891665721534
"time...276",0.0421240580059879,0.523217325162964,0.06504,37,14.7140469250411,3.90416031499147
"time...277",0.137823161244403,1.55695569642727,0.04927,35,18.7501404590482,13.4445394612237
"time...278",0.147410215595149,1.82234726626552,0.06119,33.7,8.50174103136304,6.96369558846792
"time...279",0.0047100161436821,0.0535881304769508,0.07001,96.9,166.924522113749,7.72260110033449
"time...280",0.0257920147335364,0.302067133544676,0.04743,43.6,31.7426543184025,5.40464722029457
"time...281",0.11130744531785,1.36664925681621,0.0453,39.4,21.4517697033446,13.4524110754841
"time...282",0.00706516883153339,0.0766272320348033,0.08848,64.3,49.7937539169514,3.05384252632258
"time...283",0.116033114503805,1.44224619422502,0.04863,41.6,26.328302907395,17.3204930069406
"time...284",0.103074429605962,1.21834442883572,0.06471,36.1,17.6257440178313,10.0089123303575
"time...285",0.0483506362829963,0.550061989385608,0.04504,33.3,14.3763952851129,4.06710571892623
"time...286",0.110480294454916,1.24547010074874,0.05687,33.2,15.2583227719656,8.91421580667086
"time...287",0.0563478176729518,0.759440203832075,0.05373,37.9,11.1564459591131,4.03301305380973
"time...288",0.13196614479343,1.44772510421248,0.04621,35.3,24.0168112315114,16.1814008128669
"time...289",0.0736763440040471,1.0128066293467,0.05563,44,19.6346787264397,9.17593347876215
"time...290",0.198022351771615,2.19657346236307,0.02451,45.5,99.0468066670165,98.2308421146294
"time...291",0.0778946524452837,0.834810688814846,0.04706,32.8,19.4405509261174,8.01006820006475
"time...292",0.067792658210478,0.725663497866837,0.04504,31.1,15.0217060214275,5.47565143810217
"time...293",0.135627920998414,1.59838370409947,0.05636,35.3,14.9556591028194,10.914664054806
"time...294",0.0388653741522239,0.463464745852614,0.06205,34.7,13.1329365370982,3.17374553563203
"time...295",0.146848571085911,1.60512756058685,0.03148,41,58.7902942782683,43.5939905317827
"time...296",0.095264713587631,1.14445835106625,0.05616,33.8,11.8014976779437,6.31155020588652
"time...297",0.0478470147920244,0.711363259137547,0.05692,43.6,12.1755515244719,4.07308616108356
"time...298",0.144482873555519,1.65383950398734,0.02956,42.2,49.9238212076324,37.7801376927812
"time...299",0.116680236572449,1.38923412723208,0.0392,38.7,23.6787887527021,15.1508238271235
"time...300",0.109635779918579,1.26332558603176,0.04063,38.8,30.230485084322,17.8239159521711
"time...301",0.0896217749283773,0.941416641930574,0.04214,33.8,25.5011491684594,11.7357281766407
"time...302",0.170807872268138,2.30329790638398,0.04368,42.4,13.8713797039016,14.0202411347317
"time...303",0.118505282726903,1.48590228973319,0.05144,34.9,10.0008616520003,6.75482398314389
"time...304",0.041460347459324,0.549548136063496,0.05039,37.3,11.1993389975675,3.05401128140655
"time...305",0.0586430719659549,0.736579235526056,0.04666,40.1,21.353709601596,7.61906749293697
"time...306",0.0637997045566927,0.743071647552494,0.03519,41,37.5325001035747,13.7114447762222
"time...307",0.154447961276154,1.90373471371375,0.04751,37.7,14.8432786440472,12.6731553968913
"time...308",0.078294989975034,0.914925306166582,0.05448,35.2,17.1061961442918,7.51177564314394
"time...309",0.104540757631178,1.40135033792665,0.05205,43.7,20.8552844766131,13.2043490254633
"time...310",0.0387242648061042,0.454253540453037,0.04313,39.9,26.4238105722016,6.30477500387178
"time...311",0.0518408933625404,0.671355708967754,0.05524,38.5,14.7560761512959,4.81983134951003
"time...312",0.209772489206759,2.38338760198568,0.04554,39.2,29.5913576655988,31.5932734976094
"time...313",0.040038890957705,0.475186500643759,0.03611,39.7,24.7660870332917,6.1205322453051
"time...314",0.0557236778573793,0.643077801067517,0.05073,32,11.6595579230595,3.76141031189225
"time...315",0.101088401737843,1.14364059939227,0.04241,34.2,17.5491395597864,9.48083024082672
"time...316",0.136016221406037,1.64989418719743,0.04311,44,42.1793427635571,31.5657961113027
"time...317",0.13435486458097,1.62319885067509,0.03522,38.7,20.6500234229349,15.2298072740248
"time...318",0.00928302420044766,0.111367207943277,0.06451,60,42.4688920564135,3.29040745565886
"time...319",0.1560404525603,2.10121912305223,0.05437,40.9,12.1165618096434,11.2234911755877
"time...320",0.155685614571762,1.87949102899953,0.03365,45.7,53.6887082068648,45.4244715458238
"time...321",0.130658045358048,1.64442253065934,0.04951,37.9,14.1265429190917,10.4814495262506
"time...322",0.0555093286700903,0.68391036804401,0.02193,50.5,86.1145334631929,28.8952687083883
"time...323",0.0832790702557442,0.997121362662739,0.05449,34.6,13.6955197266553,6.46748310429984
"time...324",0.147186066627079,1.76430251192669,0.03774,44.8,50.7861453463945,40.5364604326116
"time...325",0.00490041297430625,0.0507380940134856,0.10355,80.4,81.8181302791948,3.80979912443049
"time...326",0.0932393274170521,1.19416131622277,0.05025,41.3,21.5994712102069,11.879462604623
"time...327",0.169172712103467,1.85663222108365,0.03144,39.6,44.3264981433644,37.6069947260099
"time...328",0.113448013386228,1.32850212246509,0.06354,36.9,20.5670898760476,12.6639181260063
"time...329",0.106479785552737,1.27240233641132,0.04014,36.9,18.3025933533917,10.7948311040831
"time...330",0.0421399513967096,0.562894364474565,0.04474,44.9,25.0722264855992,6.96938508081488
"time...331",0.184143360148248,2.41858406201531,0.04419,46.4,27.6613235539519,29.3867442906264
"time...332",0.119753234600313,1.59604288078527,0.04464,42.3,17.4524971368418,12.4880782718421
"time...333",0.172860208183598,2.18017013738776,0.03926,43.9,28.214788153923,27.2967396210559
"time...334",0.0998257058933482,1.31604382512154,0.04707,39.7,14.3498692591082,8.59262773724038
"time...335",0.142813592307036,1.70804346969545,0.05705,38.1,19.9411924964502,15.4467441707836
"time...336",0.12340645776955,1.45981044215802,0.03417,41.3,35.4398997273781,23.7635078327668
"time...337",0.0140719394351583,0.173816151620035,0.03767,57.7,56.1922572481742,6.0560036105568
"time...338",0.0598686611481211,0.692615003646437,0.05893,32.3,12.0773358043531,4.15421969438257
"time...339",0.185092648692797,2.01453826179739,0.04625,34.3,19.6249087739362,17.9938358976434
"time...340",0.0896103361097835,1.0541116540237,0.03108,44.8,61.9121457569865,30.844382935377
"time...341",0.115487133753371,1.41011397744675,0.04488,37.7,17.4680300558436,11.2859700635491
"time...342",0.199909447679186,2.71936879638267,0.05683,40.7,9.5717765115173,11.3292698164503
"time...343",0.0724871077345653,0.882010965073086,0.05683,32.1,9.14425320829355,3.8553215418047
"time...344",0.118829505882458,1.49976910816057,0.05609,38.5,15.5217764403014,10.5641659470563
"time...345",0.064606105231539,0.784189171440079,0.07133,35.4,14.3004831185312,5.43187428342518
"time...346",0.0918582411648383,1.14284807331165,0.04416,38.9,19.1068801253079,10.1434655272086
"time...347",0.193693387403095,2.43299029122851,0.04008,42.2,21.8457612604934,23.4706993635265
"time...348",0.0491122211485316,0.617826023570117,0.04297,41,22.9837278250236,7.02299051468062
"time...349",0.11515003133101,1.30987145158185,0.05174,35.5,20.1333922884031,12.2978760419393
"time...350",0.0820828169000755,1.01143001859925,0.03618,37.8,17.7929933266343,8.46647833363124
"time...351",0.0847809051768412,0.966164375133492,0.03825,38.3,30.5654436020629,14.1628839769399
"time...352",0.157048735752216,2.13367838147554,0.04736,48.2,28.4792230978057,26.7373239164788
"time...353",0.138303935924719,1.67966562237697,0.05177,38.3,18.6496282712994,14.1892919102401
"time...354",0.0904934848723488,1.10009463743179,0.03298,43.4,40.6374999073491,20.9206547045702
"time...355",0.19326455987961,2.34593024640381,0.04487,38.1,15.8421574084299,16.513684417605
"time...356",0.107788774840673,1.34978249553219,0.05266,39.2,18.4553385370322,11.4051606195001
"time...357",0.0708420019585204,0.865790939250917,0.06127,32.2,9.08214835931965,3.7627986155428
"time...358",0.123292407592795,1.48917599416704,0.05077,38.2,19.7706123766705,13.4589083767414
"time...359",0.0679022261633237,0.801794439412505,0.08136,31,9.22397470172124,3.59356714667388
"time...360",0.0923249285591789,1.15556260781238,0.04542,39.5,19.8886189009833,10.6549329854276
"time...361",0.056966504483659,0.716839899291579,0.02595,45.3,39.8643236100952,13.8804704570746
"time...362",0.184780527667714,2.25202253493682,0.05521,37.9,15.2736368870716,15.3074721483127
"time...363",0.0954279975120089,1.15880097673112,0.03691,43.1,39.2029949211947,21.1660048039106
"time...364",0.21161139569658,2.61018313575547,0.03551,42.7,25.924279865299,29.8523793873754
"time...365",0.0996613824066221,1.10493886264055,0.04497,41.7,60.3667817143419,31.7302666826007
"time...366",0.0810297166158016,0.913583445825453,0.05197,38.1,31.6257933865249,13.9682513137341
"time...367",0.0228214413822391,0.26994640246445,0.05284,44.2,29.5203678754051,4.57532022176248
"time...368",0.0699954745092364,0.814218253031455,0.05509,37.4,23.6126307777286,9.35434667002081
"time...369",0.0893547352798684,1.25212508601177,0.06496,40.1,10.5396452725896,5.96986915278907
"time...370",0.0420424727796122,0.47218071131659,0.04388,35.1,18.3560488374774,4.57644193001224
"time...371",0.187105998980342,2.70925195616597,0.0598,48.4,15.779321630185,18.4801137493623
"time...372",0.165035163216855,1.80275852585195,0.03643,40,49.2524101867193,40.6838943460452
"time...373",0.117743325926831,1.46263093488467,0.0552,38.4,17.0676460796461,11.3764746645139
"time...374",0.150703266117026,1.7223202281124,0.04684,38.4,28.2264731908467,22.1882406749574
"time...375",0.047370487939729,0.671473777533353,0.05968,40.5,11.4372853126415,3.66763877723833
"time...376",0.110277784206787,1.19615445622309,0.03953,37.4,36.5571217982503,20.7303949479396
"time...377",0.043609210503427,0.507540552405057,0.05297,36.9,19.8850101946539,5.22279879850495
"time...378",0.180901897995117,1.9911190581768,0.0339,38.4,35.1457136464287,31.8196377652534
"time...379",0.169778384158821,2.04425827838763,0.05724,34.4,10.4429422284123,9.56636648402664
"time...380",0.0469265484747896,0.559795944433873,0.03479,41.2,30.8540789128452,8.76066958171315
"time...381",0.097953974312513,1.18746295109541,0.04244,37.6,18.69863112437,10.3265597976623
"time...382",0.0357798760295771,0.469338246005658,0.0572,36.2,10.1505944945074,2.42131919598202
"time...383",0.179130683573655,2.25091521577402,0.0324,47.7,48.4310509058953,48.320342040619
"time...384",0.0780160302453648,0.829571537567606,0.03431,37.8,42.7057171817858,17.5281386864081
"time...385",0.214168326149784,2.60317767109817,0.05135,36.8,12.330181458307,14.1884349024548
"time...386",0.172395518408231,2.01146058214301,0.03924,34.8,13.5743190868243,12.3015823096363
"time...387",0.075719802050391,0.877458151664853,0.05526,32.6,12.5315420107592,5.30997007661035
"time...388",0.130466291117988,1.57982429097347,0.04308,38,18.5890125126105,13.3635299997409
"time...389",0.0520926444854532,0.583436627503569,0.06222,32.4,13.9359225136507,4.16236159270858
