"","G","r","eps","T3","L","M"
"mu...77",62.7591882148567,31.048456265832,0.00162,6,0.257077218815612,0.132267858148182
"mu...78",62.7597256184525,31.3893488600277,0.00161,6,0.257077221060951,0.132266725327532
"mu...79",62.7234807520895,31.3340233122918,0.00161,6,0.257077211538819,0.132343157938947
"mu...80",62.6801588742831,31.5328437331216,0.00161,6,0.257077206132995,0.132434628894815
"mu...81",62.6599250429521,31.1894202879268,0.00162,6,0.257077222189679,0.132477390794871
"mu...82",62.7179687166545,31.1716859721992,0.00162,6,0.257077219157687,0.132354787311004
"mu...83",62.7589106685159,31.440158638842,0.00161,6,0.257077224538083,0.132268441945143
"mu...84",62.6808738074009,31.2295882562305,0.00162,6,0.257077198617731,0.132433119895244
"mu...85",62.7835590438146,30.6648694859045,0.00162,6,0.257077207945482,0.132216517661339
"mu...86",62.674681386942,31.3542769711789,0.00153,6.1,0.26045400843323,0.134207764343057
"mu...87",62.7563455540354,30.9763252360707,0.00162,6,0.257077191373486,0.132273855593946
"mu...88",62.7570784099775,31.3563805564168,0.00161,6,0.257077225305306,0.132272303272237
"mu...89",62.8284507978417,31.3307337741612,0.00161,6,0.257077233858522,0.132122041862121
"mu...90",62.6332942962576,30.7992328063587,0.00162,6,0.257077210642564,0.132533720249003
"mu...91",62.678190854388,31.3717860362252,0.00153,6.1,0.260454022227933,0.134200247099038
"mu...92",62.7477130767889,30.8964087744452,0.00162,6,0.257077209522333,0.132292049076681
"mu...93",62.6788096607454,31.0983297399413,0.00162,6,0.257077218852755,0.132437476873817
"mu...94",62.7707235186101,31.0519631770013,0.00162,6,0.257077204146047,0.132243554566366
"mu...95",62.5865306424826,31.2434417111467,0.00162,6,0.257077230523712,0.132632743642643
"mu...96",62.728952344457,30.6477422344063,0.00162,6,0.25707722164184,0.13233161191228
"mu...97",62.629664947678,31.4440057208401,0.00153,6.1,0.26045401004361,0.13430422893445
"mu...98",62.7682519748354,31.0666407162732,0.00162,6,0.257077187857084,0.132248765275308
"mu...99",62.6666398734861,31.3709869035589,0.00153,6.1,0.260454032115832,0.134224981425523
"mu...100",62.7135697163245,31.1426134625307,0.00162,6,0.257077225797594,0.13236406975013
"mu...101",62.695052537882,30.460629042943,0.00162,6,0.257077211063648,0.132403166965143
"mu...102",62.8263881536759,30.983513815616,0.00162,6,0.257077208430996,0.132126385031656
"mu...103",62.7143816351511,31.5667125995355,0.00161,6,0.25707720309201,0.132362361016465
"mu...104",62.8153186204252,31.6963175981143,0.00161,6,0.257077228517265,0.132149664322923
"mu...105",62.7635919514173,30.9512604914584,0.00162,6,0.257077200258193,0.132258581749017
"mu...106",62.7266726881907,31.2093362473037,0.00153,6.1,0.260454008296953,0.134096525843949
"mu...107",62.7442448772441,30.6710435661506,0.00162,6,0.257077193461688,0.132299364896604
"mu...108",62.7980535343817,31.201769539133,0.00161,6,0.257077223219986,0.132185997653667
"mu...109",62.7259417348101,31.5565930986583,0.00161,6,0.257077216494572,0.132337964484561
"mu...110",62.7119038242718,31.2134090034492,0.00153,6.1,0.2604540428026,0.13412809862755
"mu...111",62.793351781261,30.8626131907731,0.00162,6,0.257077200330141,0.132195900086626
"mu...112",62.7035295995723,31.0312132877772,0.00162,6,0.257077187857098,0.132385272012149
"mu...113",62.7550334013023,31.1236819061832,0.00162,6,0.257077217507268,0.13227661547152
"mu...114",62.8180945545064,31.4469318102873,0.00161,6,0.257077222447837,0.132143826271305
"mu...115",62.7092704777623,31.6920005619031,0.00161,6,0.257077211090953,0.132373147524242
"mu...116",62.7827436821608,30.7783929421015,0.00162,6,0.257077233858671,0.132218229398616
