"","x"
"759",30.9
"760",9.2
"761",57.5
"762",1.2
"763",31.9
"764",5.4
"765",37
"766",68.8
"767",29.7
"768",41.3
"769",36.8
"770",5.6
"771",0.7
"772",21.4
"773",34.8
"774",7.3
"775",31.5
"776",5.6
"777",18.3
"778",79.4
"779",14.5
"780",43.1
"781",19.3
"782",26.9
"783",2.8
"784",95.6
"785",74.9
"786",21.9
"787",10.1
"788",35.9
"789",3.7
"790",27
"791",6.3
"792",65.3
"793",19.8
"794",12.8
"795",26.4
"796",22.8
"797",74.8
"798",23.8
"799",12.7
"800",37.1
"801",35.8
"802",45.5
"803",13.3
"804",28.8
"805",2.3
"806",12.2
"807",63.6
"808",32.7
"809",1.1
"810",13.2
"811",6.6
"812",3.4
"813",2.2
"814",37.8
"815",53.1
"816",144.5
"817",14.1
"818",77.1
"819",10
"820",20.5
"821",21.5
"822",16.9
"823",4
"824",62.1
"825",7.5
"826",45
"827",36.2
"828",25.1
"829",27.8
"830",15
"831",20.4
"832",85
"833",27.8
"834",26.7
"835",1.9
"836",4.4
"837",3.6
"838",14.4
"839",8.9
"840",20.9
"841",15.2
"842",17.7
"843",15.2
"844",6.7
"845",26.2
"846",16.2
"847",42.1
"848",22.8
"849",5.7
"850",42.6
"851",25.7
"852",8
"853",12.4
"854",59.1
"855",61.6
"856",62.6
"857",10.2
"858",7.2
"859",11.6
"860",8.8
"861",4.3
"862",53.8
"863",49.3
"864",13.9
"865",8.3
"866",58.7
"867",25.7
"868",13.7
"869",14.4
"870",87.8
"871",36.2
"872",29.7
"873",22.2
"874",12.4
"875",20.8
"876",35.8
"877",14.4
"878",82
"879",9.8
"880",53.4
"881",14
"882",25.1
"883",54
"884",38.2
"885",28
"886",24.6
"887",16.1
"888",51.8
"889",12.5
"890",3.8
"891",34.2
"892",50.6
"893",17.3
"894",25.7
"895",2.5
"896",33.4
"897",107.3
"898",2.1
"899",6.6
"900",74.4
"901",14
"902",7
"903",24.6
"904",72.7
"905",8.1
"906",52.4
"907",18.6
"908",0.6
"909",64.3
"910",14.3
"911",3.2
"912",3.7
"913",4.7
"914",31.1
"915",51.5
"916",18.9
"917",17.9
"918",12.5
"919",112.4
"920",5.6
"921",48.9
"922",90.2
"923",16.6
"924",22.2
"925",6.5
"926",10.2
"927",25.4
"928",7.7
"929",10.1
"930",30.9
"931",16.5
"932",28.6
"933",10
"934",14.2
"935",15.2
"936",47
"937",1.8
"938",57.5
"939",3.5
"940",4.8
"941",1.7
"942",23.9
"943",11.3
"944",57.5
"945",16.3
"946",29.3
"947",3.5
"948",34.9
"949",28
"950",26.2
"951",11.5
"952",5.8
"953",24.3
"954",21.6
"955",15
"956",30.8
"957",14.8
"958",11.8
"959",53.2
"960",47
"961",33.7
"962",62
"963",22.5
"964",28.5
"965",85.7
"966",12.9
"967",10.2
"968",2.2
"969",5.5
"970",48.7
"971",30.9
"972",70.6
"973",15
"974",30.6
"975",39.8
"976",31.3
"977",1.7
"978",24.5
"979",11.5
"980",28.5
"981",75.5
"982",3.8
"983",50.5
"984",58.9
"985",18.4
"986",31.4
"987",3.2
"988",26.3
"989",27.2
"990",46.4
"991",44.4
"992",23.4
"993",22.4
"994",4.2
"995",12.2
"996",4.5
"997",14.4
"998",42.5
"999",94
"1000",20.3
"1001",4.5
"1002",3.1
"1003",80.4
"1004",41.9
"1005",2.8
"1006",13.2
"1007",4.6
"1008",43.8
"1009",2.7
"1010",13.7
"1011",15
"1012",3.1
"1013",82.3
"1014",31.5
"1015",5.4
"1016",6.1
"1017",30
"1018",21.5
"1019",6.4
"1020",53.4
"1021",27.3
"1022",49.8
"1023",25.4
"1024",11.4
"1025",35.8
"1026",12.2
"1027",31.8
"1028",11.8
"1029",39.1
"1030",86.8
"1031",54.4
"1032",51
"1033",15.5
"1034",14.5
"1035",4.2
"1036",12.3
"1037",50.4
"1038",8.2
"1039",21.5
"1040",26.3
"1041",3.3
"1042",46.5
"1043",58.3
"1044",22.7
"1045",5.6
"1046",7.3
"1047",84.6
"1048",11.8
"1049",2.4
"1050",50.7
"1051",34.1
"1052",3.6
"1053",25.2
"1054",80.4
"1055",22.3
"1056",3.6
"1057",12.7
"1058",8.2
"1059",59.8
"1060",19.1
"1061",4.7
"1062",8
"1063",34.1
"1064",23.1
"1065",2.6
"1066",30
"1067",10.7
"1068",23.2
"1069",33.4
"1070",7.6
"1071",15.1
"1072",14.1
"1073",3.5
"1074",18
"1075",9.6
"1076",18.6
"1077",14.4
"1078",67.2
"1079",15.6
"1080",15.5
"1081",29.3
"1082",24.7
"1083",18.7
