"","V1"
"441",94.120001144618
"442",81.4083957626298
"443",83.3285820358126
"444",103.983584762527
"445",87.2415722457873
"446",143.189836179156
"447",133.53183940527
"448",64.1527533622068
"449",110.01395328657
"450",83.3666822304872
"451",99.3237888200504
"452",112.088689647472
"453",80.1125893280751
"454",105.925696129761
"455",153.816373143198
"456",79.8509910591625
"457",56.5750300273871
"458",90.4711927179512
"459",68.9372968204347
"460",102.167133731571
"461",92.9967368832266
"462",70.1519547836849
"463",84.1546723412017
"464",79.6832870300941
"465",81.3515003110294
"466",75.7252049952532
"467",66.201745025522
"468",91.9298781746378
"469",130.003888194564
"470",68.6549155609986
"471",101.280368034626
"472",103.301224771227
"473",102.254721580507
"474",93.2775752170271
"475",67.2072485498841
"476",162.901044742571
"477",65.744873177605
"478",82.2670123425391
"479",89.0749168048361
"480",79.2025339377951
"481",82.741423045877
"482",71.1881594683088
"483",112.056729689942
"484",67.373165856545
"485",94.7374042286893
"486",113.235266731986
"487",88.4533774368093
"488",168.274202222428
"489",71.8729826284333
"490",88.5100829024264
"491",94.7838160012934
"492",86.7096505802223
"493",74.3843170945173
"494",89.1984860721671
"495",105.723415663293
"496",56.6279994927452
"497",88.2927865591286
"498",84.9057537916503
"499",101.58722464886
"500",59.3901176250322
"501",92.3258994639966
"502",89.8881695621633
"503",69.9343476636812
"504",92.3414557915442
"505",97.3488092533271
"506",96.4793852875149
"507",60.276164160051
"508",93.2921578310512
"509",169.794151980462
"510",82.0202431926164
"511",77.7995596463217
"512",98.6580649674077
"513",78.7909638386478
"514",153.442339296018
"515",91.953466166843
"516",87.6631649469871
"517",78.5802409980972
"518",119.490422527849
"519",107.588735273087
"520",88.9693236343025
"521",122.893888243528
"522",129.282360918557
"523",123.472432458927
"524",68.4598444347928
"525",82.2239241267639
"526",79.2662991061018
"527",150.957570212717
"528",82.5830524714917
"529",139.262988761774
"530",126.173574922741
"531",91.9753628747368
"532",71.1209950026228
"533",69.8864456713434
"534",169.234654541896
"535",151.412673478097
"536",88.926366671968
"537",133.61434055226
"538",78.7756698989648
"539",88.7149705335084
"540",120.679305642761
"541",70.627923356591
"542",97.5499732682504
"543",159.15595567199
"544",87.3575608677028
"545",63.4873409253726
"546",86.4538267180866
"547",145.750556363771
"548",67.4204605610316
"549",85.6465579145994
"550",81.2843612746848
"551",85.7262125712503
"552",69.569436658867
"553",75.7568304832703
"554",86.9057870570767
"555",78.8662949716152
"556",97.7377340793972
"557",98.9679371510754
"558",125.19146182962
"559",165.359039855309
"560",81.6979852175199
"561",80.3969722175196
"562",85.1938309334946
"563",89.4387703692762
"564",71.0763001722321
"565",66.1469251071438
"566",98.8962226179153
"567",163.643630708173
"568",79.1132409229559
"569",76.1337588294166
"570",73.5820468514028
"571",91.5476371446963
"572",109.324796314972
"573",136.441951078549
"574",93.722953034833
"575",123.332559793257
"576",80.8709258904882
"577",88.1578255463247
"578",85.6909692962243
"579",124.283401788636
"580",120.171156535469
"581",94.1899253472221
"582",123.606625955773
"583",77.0116043246149
"584",96.0827549297666
"585",91.5294329993626
"586",92.2362729159704
"587",94.5983861977276
"588",87.9560998318159
"589",71.331678403891
"590",144.928965540524
"591",78.0974122895171
"592",84.833107291433
"593",103.835766469389
"594",101.569772117433
"595",90.6708351637247
"596",111.203918852721
"597",73.8823321363361
"598",96.7463559035181
"599",119.048430125912
"600",74.596159475029
"601",102.545829264804
"602",83.3377872537458
"603",69.8691479478367
"604",100.781480132124
"605",121.918896931708
"606",82.4863468257763
"607",73.09385968561
"608",91.788789545827
"609",135.333857020272
"610",76.6670164966326
"611",108.85430846212
"612",120.714163671048
"613",82.1502980095555
"614",94.3186805032666
"615",109.209022371923
"616",129.095506814026
"617",68.0947055977622
"618",146.773300084012
"619",78.5717134827689
"620",104.948971929972
"621",74.3562800772531
"622",66.6932447632396
"623",78.9055762186876
"624",112.956483999275
"625",80.2642117680124
"626",81.3341566350188
"627",111.875025850609
"628",93.554316964134
"629",110.259312565811
"630",96.9757295593528
"631",106.051754509775
"632",103.149008833974
"633",63.4328845115941
"634",114.826658290518
"635",96.4016714456141
"636",71.6784094895568
"637",169.829837699002
"638",122.501622875902
"639",97.1259289411095
"640",96.263542192258
"641",104.801952297307
"642",59.1179733692852
"643",100.839121702852
"644",71.1811964307344
"645",95.2626043150063
"646",77.2071480088276
"647",100.626261435836
"648",83.3468002007233
"649",93.553129404404
"650",107.3031540726
"651",77.6080977987458
"652",114.718286531767
"653",98.1045799184949
"654",105.315868472
"655",90.9318726611899
"656",93.3775994678362
"657",76.8132260346693
"658",69.566932465154
"659",73.5023145297678
"660",55.9054100046399
"661",104.242487971728
"662",113.31427816957
"663",76.0352508484646
"664",67.2332516103449
"665",91.6461378752385
"666",68.5077742130036
"667",118.176941110787
"668",118.297540000549
"669",123.817726159792
"670",95.4571162483098
"671",84.9341395470944
"672",136.745689118825
"673",95.6571968225562
"674",90.5028040593634
"675",141.480186044385
"676",121.556279412598
"677",75.3842652279413
"678",75.4022110299698
"679",140.146244249302
"680",106.083445550349
"681",95.2646561771208
"682",102.221626521217
"683",72.1538335865409
"684",71.4462647499273
"685",60.0131977889373
"686",102.64180030443
"687",86.21631332074
"688",81.5458744685324
"689",94.4592794682646
"690",146.206266945658
"691",114.157247792471
"692",67.5693468146774
"693",68.0024607315189
"694",97.3721211768158
"695",70.1399991888154
"696",83.4693500063127
"697",76.7427505393552
"698",64.5037514776844
"699",148.675434856514
"700",122.394573379429
"701",82.6385812165706
"702",96.4854873407572
"703",72.212290472932
"704",83.3446824511487
"705",96.8478357694772
"706",125.835079770768
"707",107.67514233825
"708",71.5515684797757
"709",71.6785243676813
"710",184.161361275198
"711",94.6857656294047
"712",171.538439306019
"713",156.408001913663
"714",67.1959192183451
"715",86.0312392807717
"716",93.6101029041382
"717",87.4226262226391
"718",59.3090979878671
"719",82.9487334594641
"720",85.6474922059354
"721",106.959722881546
"722",66.8295157409802
"723",65.130469800556
"724",74.9683167585603
"725",98.1557195524987
"726",74.8140129150367
"727",102.587861365629
"728",67.6657276697307
"729",74.3759365616914
"730",90.2219501003212
"731",72.3236183611417
"732",118.280721792684
"733",110.287835491763
"734",58.6454885700211
"735",97.1666950856008
"736",89.3177412681712
"737",86.6964052347441
"738",102.258873996264
"739",111.384188377505
"740",122.587439009667
"741",70.0687444323933
"742",104.532812508974
"743",97.0380501088983
"744",83.2554196476539
"745",103.903947679333
"746",89.7011614863613
"747",64.2313329965224
"748",163.002551188098
"749",90.4735989759945
"750",86.7423133206008
"751",75.2423614528541
"752",134.282795618017
"753",86.120627412308
"754",76.0640055312262
"755",62.494749290311
"756",84.7753895900523
"757",216.734089001928
"758",115.724174348416
"759",183.294526273782
"760",113.178493123283
"761",106.417311659816
"762",69.0146454876535
"763",111.579652417887
"764",96.4553401760657
"765",73.4592124749417
"766",134.248849045467
"767",65.1327864596265
"768",145.37818406073
"769",101.48194678193
"770",121.024407201931
"771",69.0084288087659
"772",90.1168912044279
"773",67.8977976401048
"774",158.506489075652
"775",79.6881475196752
"776",113.640480708138
"777",105.701614000499
"778",91.6459869859643
"779",170.600989060134
"780",119.262650437057
"781",84.8423558944845
"782",127.52408507201
"783",80.6744673255645
"784",72.1424876348668
"785",76.5468937989835
"786",94.3563700439879
"787",69.9104452955144
"788",61.7384316734497
"789",84.2062638306757
"790",80.7160253528227
"791",112.402573345408
"792",63.3190015085524
"793",74.5784283045605
"794",71.1356594233322
"795",96.9011500010233
"796",124.989375451374
"797",117.963936314387
"798",87.0171519071017
"799",62.6291502452837
"800",66.4890772360938
"801",79.1256287567657
"802",61.7696899024844
"803",102.505689595847
