"","x"
"726",33.6
"727",34.1
"728",29.8
"729",57
"730",122.9
"731",47
"732",19.2
"733",36.9
"734",50.9
"735",55
"736",73.4
"737",45.9
"738",55.9
"739",26.8
"740",72.2
"741",58.1
"742",90.6
"743",107.8
"744",149.1
"745",16
"746",65.3
"747",18.3
"748",30.7
"749",9.5
"750",32.8
"751",14.5
"752",7.1
"753",112.4
"754",39.6
"755",20.9
"756",37.5
"757",11.4
"758",40.6
"759",22.6
"760",60.2
"761",41.3
"762",58.4
"763",52.2
"764",101.3
"765",29
"766",89.2
"767",33.4
"768",73
"769",13.4
"770",17.7
"771",47.6
"772",14.2
"773",46.7
"774",19.8
"775",120
"776",53.3
"777",49.6
"778",51.9
"779",45.9
"780",56.4
"781",57
"782",35.1
"783",16.7
"784",33.1
"785",61.9
"786",16.6
"787",32.3
"788",37.8
"789",20.8
"790",32.4
"791",22.3
"792",70.7
"793",91.4
"794",64
"795",65.5
"796",55.6
"797",105.1
"798",39.5
"799",60.6
"800",25.4
"801",73.8
"802",9.7
"803",69.1
"804",81.9
"805",118.7
"806",81.5
"807",19.1
"808",28
"809",44.2
"810",34.2
"811",26
"812",85.9
"813",38.2
"814",99.3
"815",45.4
"816",72.8
"817",31.3
"818",69.4
"819",29.8
"820",59.3
"821",26.3
"822",11.5
"823",23.7
"824",28.3
"825",28.7
"826",35.1
"827",12.8
"828",57.8
"829",85.5
"830",23.8
"831",24.1
"832",27.7
"833",20.5
"834",29.1
"835",42
"836",37.5
"837",32.1
"838",57
"839",55.9
"840",13.7
"841",25.7
"842",22.3
"843",9.4
"844",26.2
"845",34.5
"846",58.9
"847",64.1
"848",94.4
"849",29.5
"850",9.2
"851",47.2
"852",39.4
"853",24.7
"854",22.2
"855",17
"856",45.4
"857",22.1
"858",49.7
"859",92.5
"860",60.4
"861",99.7
"862",39.4
"863",48.2
"864",18.8
"865",59
"866",32
"867",27.1
"868",77.4
"869",25.5
"870",10.7
"871",74.6
"872",28.5
"873",120.9
"874",44.5
"875",50.2
"876",16.4
"877",40.7
"878",47
"879",29.8
"880",60.7
"881",22.3
"882",11.5
"883",103.4
"884",68.8
"885",14.7
"886",18.7
"887",45.4
"888",18.4
"889",62.9
"890",87
"891",106.9
"892",194.2
"893",29.4
"894",75
"895",51.5
"896",21.8
"897",75.2
"898",11.9
"899",34.8
"900",22.7
"901",61.6
"902",35.9
"903",66.2
"904",64.7
"905",68.1
"906",103.4
"907",41
"908",52.9
"909",40.4
"910",54.8
"911",17.4
"912",34.6
"913",41.1
"914",25.3
"915",51
"916",12.7
"917",124.6
"918",29.1
"919",41.1
"920",140.3
"921",39.6
"922",32.1
"923",13.8
"924",13.4
"925",37.4
"926",68.3
"927",60.8
"928",21
"929",97.6
"930",32.9
"931",43.4
"932",27
"933",74.1
"934",29
"935",53.3
